SUBSCRIBER_ID,BILL_MONTH,CHARGES
1277,2016-11-01,10.120
5424,2017-05-01,27.292
5710,2017-01-01,14.824
697,2017-04-01,4.938
4625,2016-07-01,6.182
771,2017-11-01,4.991
3862,2017-08-01,8.018
498,2016-08-01,55.699
5134,2017-03-01,8.036
4243,2016-12-01,9.048
5730,2017-10-01,5.198
1972,2017-09-01,5.500
3754,2017-07-01,13.894
1114,2016-07-01,4.068
3151,2016-09-01,6.188
4196,2017-06-01,5.805
5835,2017-10-01,6.406
1812,2017-12-01,3.334
4541,2017-10-01,13.998
2547,2016-09-01,8.685
5016,2016-07-01,5.042
1238,2017-03-01,9.398
5132,2017-03-01,1.660
5906,2017-12-01,0.000
5014,2017-08-01,5.005
4922,2017-07-01,11.992
252,2017-06-01,11.201
3300,2016-07-01,11.386
3594,2017-08-01,5.024
1422,2017-09-01,13.133
5558,2017-05-01,3.710
5232,2017-04-01,4.814
3727,2017-05-01,12.027
4802,2016-08-01,8.635
2980,2017-01-01,5.796
3949,2017-01-01,7.862
1552,2016-08-01,11.882
4341,2017-10-01,6.830
1518,2016-09-01,12.610
142,2017-08-01,9.100
4527,2017-01-01,6.670
4330,2017-09-01,5.044
4652,2017-12-01,5.394
5389,2017-10-01,0.000
3478,2017-08-01,2.456
1049,2016-10-01,12.581
970,2017-06-01,25.609
2323,2017-10-01,5.004
5241,2017-06-01,5.141
3878,2017-11-01,5.418
1666,2017-05-01,8.104
5655,2017-07-01,9.112
3177,2017-03-01,6.670
2839,2017-07-01,6.380
4741,2016-08-01,6.896
1754,2017-02-01,6.590
381,2017-12-01,0.480
5832,2017-06-01,8.928
5277,2017-09-01,1.752
4512,2016-10-01,6.960
1688,2017-06-01,8.398
3204,2017-12-01,2.456
1277,2017-02-01,0.000
5424,2017-06-01,53.130
5710,2016-07-01,5.042
697,2017-05-01,6.114
4625,2016-08-01,6.217
771,2016-07-01,7.716
3862,2017-05-01,17.388
498,2017-01-01,5.364
5134,2016-07-01,7.946
4243,2016-09-01,6.795
5730,2017-08-01,5.024
1972,2017-07-01,11.131
3754,2016-09-01,6.078
1114,2017-04-01,12.233
3151,2016-06-01,6.042
4196,2016-09-01,4.800
5835,2016-12-01,1.652
1812,2016-08-01,1.219
4541,2017-02-01,10.443
2547,2017-10-01,12.151
5016,2017-01-01,5.776
1238,2016-06-01,18.278
5132,2017-08-01,5.764
5906,2017-05-01,5.104
5014,2016-08-01,5.957
4922,2016-09-01,5.437
252,2017-02-01,9.260
3300,2017-06-01,13.228
3594,2017-03-01,4.628
1422,2017-02-01,9.840
5558,2016-10-01,4.623
5232,2017-03-01,8.433
3727,2017-12-01,5.790
4802,2017-07-01,0.000
2980,2017-04-01,4.814
3949,2016-09-01,7.115
1552,2016-07-01,9.692
4341,2017-04-01,7.694
1518,2017-05-01,4.562
142,2017-09-01,5.064
4527,2017-12-01,14.817
4330,2016-08-01,6.674
4652,2017-01-01,5.060
5389,2017-12-01,0.000
3478,2017-10-01,2.544
1049,2017-09-01,8.036
970,2017-08-01,6.283
2323,2017-11-01,4.964
5241,2017-03-01,2.721
3878,2016-12-01,4.704
1666,2017-02-01,6.854
5655,2017-11-01,7.229
3177,2017-01-01,7.139
2839,2017-10-01,5.556
4741,2017-04-01,4.852
1754,2017-01-01,5.356
381,2016-12-01,6.670
5832,2017-02-01,10.710
5277,2017-02-01,1.610
4512,2017-03-01,8.174
1688,2016-10-01,6.688
3204,2017-09-01,2.456
1277,2016-10-01,10.235
5424,2017-12-01,25.976
5710,2016-10-01,10.511
697,2017-07-01,8.414
4625,2017-01-01,6.750
771,2016-11-01,8.271
3862,2016-08-01,5.370
498,2016-07-01,32.091
5134,2017-09-01,4.964
4243,2017-11-01,6.750
5730,2017-05-01,4.964
1972,2017-03-01,14.653
3754,2017-11-01,6.722
1114,2017-10-01,12.288
3151,2016-08-01,6.063
4196,2016-06-01,4.754
5835,2017-03-01,6.307
1812,2016-09-01,1.348
4541,2017-11-01,18.667
2547,2016-11-01,8.800
5016,2016-10-01,5.762
1238,2016-07-01,11.066
5132,2016-12-01,6.306
5906,2016-11-01,0.061
5014,2017-05-01,5.018
4922,2016-11-01,7.643
252,2016-07-01,6.686
3300,2017-03-01,9.312
3594,2017-10-01,5.084
1422,2016-08-01,6.160
5558,2017-12-01,3.207
5232,2016-08-01,5.946
3727,2016-11-01,5.062
4802,2016-10-01,6.911
2980,2016-08-01,5.221
3949,2017-06-01,7.748
1552,2017-10-01,12.076
4341,2017-06-01,10.104
1518,2016-06-01,6.408
142,2016-06-01,5.161
4527,2017-02-01,6.688
4330,2017-11-01,5.636
4652,2017-05-01,5.524
5389,2016-11-01,4.554
3478,2017-12-01,2.456
1049,2016-08-01,7.742
970,2016-09-01,4.160
2323,2017-08-01,5.004
5241,2017-05-01,5.384
3878,2017-10-01,4.998
1666,2017-08-01,7.384
5655,2017-08-01,12.176
3177,2017-08-01,4.964
2839,2017-09-01,6.814
4741,2017-10-01,4.984
1754,2016-06-01,6.097
381,2017-03-01,6.670
5832,2017-09-01,8.734
5277,2017-12-01,1.752
4512,2016-08-01,8.441
1688,2016-08-01,5.962
3204,2017-05-01,2.983
1277,2017-04-01,15.715
5424,2016-10-01,11.194
5710,2017-09-01,6.564
697,2017-10-01,9.982
4625,2016-06-01,6.479
771,2016-08-01,7.010
3862,2017-09-01,6.938
498,2017-11-01,7.412
5134,2017-06-01,5.264
4243,2017-07-01,7.082
5730,2016-07-01,4.665
1972,2016-08-01,8.230
3754,2017-12-01,8.408
1114,2017-02-01,9.198
3151,2017-01-01,6.923
4196,2016-12-01,7.388
5835,2016-09-01,0.061
1812,2017-07-01,2.922
4541,2016-11-01,12.510
2547,2016-08-01,9.562
5016,2017-12-01,5.058
1238,2016-11-01,10.042
5132,2017-10-01,3.572
5906,2017-03-01,2.498
5014,2017-12-01,4.991
4922,2017-09-01,18.294
252,2017-07-01,11.154
3300,2017-02-01,11.788
3594,2017-09-01,5.004
1422,2017-01-01,6.996
5558,2017-01-01,5.558
5232,2017-01-01,8.747
3727,2016-08-01,4.128
4802,2017-02-01,4.768
2980,2016-06-01,5.264
3949,2017-05-01,8.166
1552,2017-06-01,8.174
4341,2016-08-01,7.914
1518,2017-02-01,6.670
142,2017-05-01,7.095
4527,2017-07-01,2.482
4330,2017-04-01,10.104
4652,2016-06-01,4.280
5389,2017-08-01,8.434
3478,2016-09-01,5.998
1049,2017-10-01,6.710
970,2017-02-01,7.783
2323,2017-03-01,4.554
5241,2017-01-01,6.670
3878,2017-09-01,5.144
1666,2017-04-01,5.540
5655,2016-10-01,2.769
3177,2017-06-01,5.524
2839,2017-11-01,5.264
4741,2016-06-01,4.041
1754,2017-11-01,2.808
381,2017-02-01,6.670
5832,2017-10-01,26.126
5277,2017-08-01,1.918
4512,2017-06-01,9.372
1688,2016-09-01,6.167
3204,2017-03-01,6.126
1277,2016-06-01,12.254
5424,2016-06-01,31.948
5710,2016-11-01,14.421
697,2017-12-01,11.839
4625,2017-03-01,4.554
771,2017-10-01,5.011
3862,2017-03-01,7.446
498,2017-12-01,5.143
5134,2016-12-01,4.591
4243,2017-03-01,5.376
5730,2016-10-01,2.354
1972,2016-11-01,7.356
3754,2016-11-01,6.670
1114,2017-09-01,10.774
3151,2017-05-01,3.124
4196,2016-08-01,4.244
5835,2017-08-01,5.524
1812,2016-07-01,1.228
4541,2017-07-01,11.806
2547,2016-07-01,9.453
5016,2017-05-01,4.964
1238,2017-06-01,9.595
5132,2017-05-01,1.822
5906,2017-10-01,10.784
5014,2017-02-01,6.698
4922,2017-12-01,5.024
252,2017-11-01,11.996
3300,2016-10-01,14.382
3594,2016-07-01,8.720
1422,2016-11-01,7.722
5558,2016-09-01,5.226
5232,2016-09-01,6.405
3727,2017-02-01,5.808
4802,2017-05-01,10.250
2980,2017-03-01,4.554
3949,2016-06-01,2.921
1552,2017-02-01,6.555
4341,2016-10-01,7.700
1518,2017-09-01,5.004
142,2016-09-01,4.669
4527,2016-09-01,19.986
4330,2017-12-01,5.186
4652,2017-03-01,5.927
5389,2017-11-01,0.000
3478,2017-11-01,2.456
1049,2017-01-01,12.023
970,2017-03-01,7.678
2323,2017-01-01,4.554
5241,2017-04-01,4.092
3878,2016-07-01,6.285
1666,2017-01-01,7.001
5655,2016-07-01,1.354
3177,2017-05-01,9.318
2839,2017-12-01,6.330
4741,2017-06-01,36.787
1754,2016-10-01,6.766
381,2016-10-01,6.817
5832,2017-12-01,7.765
5277,2016-06-01,1.357
4512,2016-12-01,6.830
1688,2017-12-01,4.984
3204,2017-11-01,2.456
1277,2017-08-01,5.332
5424,2017-11-01,18.652
5710,2017-12-01,5.510
697,2016-10-01,5.976
4625,2017-09-01,5.024
771,2017-04-01,8.300
3862,2016-10-01,6.406
498,2016-09-01,15.349
5134,2016-09-01,5.283
4243,2016-11-01,7.995
5730,2016-08-01,3.749
1972,2017-05-01,6.866
3754,2017-04-01,13.662
1114,2016-12-01,4.844
3151,2016-11-01,6.739
4196,2017-05-01,5.244
5835,2017-11-01,4.964
1812,2017-11-01,2.895
4541,2017-08-01,7.787
2547,2016-06-01,7.569
5016,2016-06-01,4.855
1238,2017-01-01,10.086
5132,2017-04-01,1.948
5906,2017-07-01,4.964
5014,2017-10-01,5.032
4922,2017-01-01,6.852
252,2016-06-01,4.448
3300,2017-12-01,5.774
3594,2017-07-01,8.033
1422,2016-12-01,10.224
5558,2017-04-01,7.283
5232,2017-11-01,5.066
3727,2016-06-01,4.198
4802,2017-11-01,5.286
2980,2017-12-01,4.964
3949,2016-08-01,6.566
1552,2017-05-01,11.404
4341,2016-11-01,7.737
1518,2017-04-01,2.382
142,2016-11-01,5.508
4527,2017-06-01,7.837
4330,2016-09-01,5.626
4652,2017-09-01,6.226
5389,2017-07-01,4.349
3478,2017-04-01,2.382
1049,2017-11-01,5.668
970,2017-11-01,6.352
2323,2017-07-01,4.964
5241,2017-12-01,4.077
3878,2017-02-01,4.064
1666,2017-09-01,7.354
5655,2017-03-01,9.388
3177,2016-10-01,6.670
2839,2016-12-01,7.443
4741,2016-10-01,4.731
1754,2016-07-01,6.095
381,2016-11-01,6.670
5832,2017-01-01,6.463
5277,2017-05-01,1.863
4512,2016-07-01,8.503
1688,2017-04-01,7.086
3204,2017-04-01,2.382
1277,2016-07-01,11.826
5424,2017-03-01,17.590
5710,2016-06-01,0.046
697,2017-08-01,6.114
4625,2017-06-01,4.964
771,2017-02-01,8.165
3862,2017-02-01,9.061
498,2017-02-01,4.756
5134,2017-12-01,4.964
4243,2017-01-01,6.983
5730,2017-01-01,6.170
1972,2017-12-01,10.635
3754,2016-08-01,17.903
1114,2017-01-01,4.798
3151,2016-10-01,6.886
4196,2017-07-01,4.964
5835,2017-01-01,2.254
1812,2017-06-01,2.558
4541,2016-08-01,12.188
2547,2017-11-01,6.300
5016,2017-08-01,4.984
1238,2017-11-01,5.536
5132,2016-11-01,9.384
1750,2016-10-01,7.296
5014,2016-10-01,6.712
4922,2017-10-01,9.427
252,2017-01-01,4.830
3300,2016-06-01,6.764
3594,2017-02-01,5.051
1422,2017-06-01,14.266
5558,2017-07-01,8.033
5232,2017-10-01,5.004
3727,2017-04-01,8.508
4802,2017-06-01,7.810
2980,2017-09-01,4.964
3949,2017-10-01,5.308
1552,2016-09-01,25.064
