iter	Passed	Remaining
795	8013	2053
796	8022	2043
797	8033	2033
798	8042	2023
799	8053	2013
800	8064	2003
801	8074	1993
802	8085	1983
803	8096	1973
804	8105	1963
805	8117	1953
806	8126	1943
807	8136	1933
808	8147	1923
809	8156	1913
810	8167	1903
811	8178	1893
812	8187	1883
813	8198	1873
814	8208	1863
815	8219	1853
816	8231	1843
817	8241	1833
818	8251	1823
819	8262	1813
820	8272	1803
821	8282	1793
822	8293	1783
823	8304	1773
824	8316	1764
825	8326	1754
826	8336	1743
827	8347	1734
828	8359	1724
829	8369	1714
830	8380	1704
831	8392	1694
832	8402	1684
833	8413	1674
834	8424	1664
835	8434	1654
836	8445	1644
837	8455	1634
838	8464	1624
839	8474	1614
840	8484	1604
841	8495	1594
842	8505	1584
843	8515	1574
844	8526	1563
845	8535	1553
846	8546	1543
847	8556	1533
848	8566	1523
849	8576	1513
850	8585	1503
851	8596	1493
852	8606	1483
853	8616	1473
854	8627	1463
855	8638	1453
856	8649	1443
857	8659	1433
858	8668	1422
859	8678	1412
860	8688	1402
861	8698	1392
862	8710	1382
863	8720	1372
864	8729	1362
865	8739	1352
866	8749	1342
867	8759	1332
868	8769	1322
869	8779	1311
870	8789	1301
871	8799	1291
872	8809	1281
873	8818	1271
874	8828	1261
875	8839	1251
876	8848	1240
877	8858	1230
878	8868	1220
879	8877	1210
880	8887	1200
881	8897	1190
882	8907	1180
883	8916	1170
884	8926	1159
885	8936	1149
886	8945	1139
887	8955	1129
888	8964	1119
889	8974	1109
890	8984	1099
891	8993	1088
892	9004	1078
893	9013	1068
894	9024	1058
895	9033	1048
896	9043	1038
897	9054	1028
898	9063	1018
899	9073	1008
900	9083	998
901	9092	987
902	9103	977
903	9112	967
904	9122	957
905	9132	947
906	9142	937
907	9153	927
908	9163	917
909	9172	907
910	9182	897
911	9192	886
912	9202	876
913	9212	866
914	9221	856
915	9231	846
916	9240	836
917	9251	826
918	9259	816
919	9269	806
920	9280	796
921	9289	785
922	9299	775
923	9309	765
924	9319	755
925	9329	745
926	9339	735
927	9351	725
928	9362	715
929	9372	705
930	9382	695
931	9391	685
932	9402	675
933	9411	665
934	9421	654
935	9431	644
936	9441	634
937	9457	625
938	9467	615
939	9477	604
940	9486	594
941	9496	584
942	9505	574
943	9515	564
944	9525	554
